,0
0,Arkansas
1,Connecticut
2,Hawaii
3,Idaho
4,Illinois
5,Iowa
6,Kentucky
7,Louisiana
8,Maine
9,Michigan
10,Minnesota
11,Mississippi
12,Montana
13,New Hampshire
14,North Dakota
15,Oregon
16,Rhode Island
17,South Dakota
18,Tennessee
19,Utah
20,Vermont
21,Virginia
22,Wisconsin
23,Wyoming
